reproductiveCondition,occurrenceStatus,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedDate,dateIdentified,elevation,elevationAccuracy,hasCoordinate,hasGeospatialIssues
,PRESENT,1933-07-24,,205.0,205.0,1933.0,7.0,24.0,,,,,US,Montana,,,"Glacier National Park, Sun Camp.",,,,,,,,,,,,False,False
,PRESENT,1942-06-10,,161.0,161.0,1942.0,6.0,10.0,,,,,US,Montana,,,"Glacier National Park, south slope of Quartz Ridge, north of Quartz Lake.",,,,,,,,,,,,False,False
,PRESENT,1896-06-19,,171.0,171.0,1896.0,6.0,19.0,,,,,US,Washington,,,"Cascade Mountains, Mount Rainier and adjacent mountains.",,,,,,,,,1944-01-01T00:00:00,1067.5,152.5,False,False
,PRESENT,1933-08-13,,225.0,225.0,1933.0,8.0,13.0,,,,,US,Oregon,Hood River,,"Along the East Fork Hood River, near Sherwood Forest Camp, Mount Hood National Forest.",,,,,,,,,1944-01-01T00:00:00,,,False,False
,PRESENT,1938-07-28,,209.0,209.0,1938.0,7.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Green Mountain, near Haylmore.",,,,,,,,,1944-01-01T00:00:00,2134.0,0.0,False,False
,PRESENT,1939-06-22,,173.0,173.0,1939.0,6.0,22.0,,,,,US,Oregon,Deschutes,,MacKenzie Pass.,,,,,,,,,1944-01-01T00:00:00,1616.0,0.0,False,False
,PRESENT,1936-05-02,,123.0,123.0,1936.0,5.0,2.0,,,,,US,Idaho,Latah,,"The Thatuna Hills, one mile west of the Twins.",,,,,,,,,1944-01-01T00:00:00,,,False,False
,PRESENT,1938-07-28,,209.0,209.0,1938.0,7.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Green Mountain, near Haylmore.",,,,,,,,,,2134.0,0.0,False,False
,PRESENT,1938-06-20,,171.0,171.0,1938.0,6.0,20.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Near Lake Bootahnie, Marble Mountains.",,,,,,,,,,1524.0,0.0,False,False
,PRESENT,,,,,,,,,,,,,,,,Vicinity of Helena.,,,,,,,,,,,,False,False
,PRESENT,1950-07-21,,202.0,202.0,1950.0,7.0,21.0,,,,,US,Oregon,Wallowa,,"At Horseshoe Lake, Lake Basin, Wallowa Mountains.",,,,,,,,,,,,False,False
,PRESENT,1938-05-14,,134.0,134.0,1938.0,5.0,14.0,,,,,US,Idaho,,,Near South shore of Priest Lake.,,,,,,,,,1944-01-01T00:00:00,915.0,0.0,False,False
,PRESENT,1946-07-09,,190.0,190.0,1946.0,7.0,9.0,,,,,US,Montana,Missoula,,"Foot of Spring Creek Trail, Rattlesnake Drainage.",,,,,,,,,,,,False,False
,PRESENT,1947-07-12,,193.0,193.0,1947.0,7.0,12.0,,,,,US,Montana,Park,,Six miles west of Four Mile Ranger Station.,,,,,,,,,,,,False,False
,PRESENT,1938-07-02,,183.0,183.0,1938.0,7.0,2.0,,,,,US,Idaho,Shoshone,,"Ridge east of Freezeout Mountain, St. Joe National Forest.",,,,,,,,,1944-01-01T00:00:00,1677.0,0.0,False,False
,PRESENT,1949-06-27,,178.0,178.0,1949.0,6.0,27.0,,,,,US,Montana,Park,,"Vicinity Cooke Guard Station, about 2 miles east of Cooke City.",,,,,,,,,,2439.0,0.0,False,False
,PRESENT,1949-06-29,,180.0,180.0,1949.0,6.0,29.0,,,,,US,Oregon,Josephine,,"Along the Grayback Trail, Oregon Caves National Monument and vicinity.",,,,,,,,,,,,False,False
,PRESENT,1949-07-10,,191.0,191.0,1949.0,7.0,10.0,,,,,US,Oregon,Josephine,,At Upper Biglow Lake.,,,,,,,,,,,,False,False
,PRESENT,1948-07-12,,194.0,194.0,1948.0,7.0,12.0,,,,,US,Montana,Lake,,Cliffs high above and circa 6 miles southeast of McDonald Lake; Mission Range.,,,,,,,,,,,,False,False
,PRESENT,1948-07-10,,192.0,192.0,1948.0,7.0,10.0,,,,,US,Montana,Missoula,,Circa 10 miles west of Placid Lake; Missoula National Forest.,,,,,,,,,,,,False,False
,PRESENT,1939-06-17,,168.0,168.0,1939.0,6.0,17.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Sumup Cabin, southwest of Mount Baldy, 9 miles northwest of Ross Spur.",,,,,,,,,,1326.0,46.0,False,False
,PRESENT,1941-07-01,,182.0,182.0,1941.0,7.0,1.0,,,,NORTH_AMERICA,CA,British Columbia,,,Circa. 4.25 miles northeast by east of Falkland.,,,,,,,,,,1463.0,0.0,False,False
,PRESENT,1940-07-28,,210.0,210.0,1940.0,7.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,Bear Lake.,,,,,,,,,,,,False,False
,PRESENT,1940-07-22,,204.0,204.0,1940.0,7.0,22.0,,,,NORTH_AMERICA,CA,British Columbia,,,Takla Lake about 9 miles northwest of Takla Landing.,,,,,,,,,,,,False,False
,PRESENT,1955-07-13,,194.0,194.0,1955.0,7.0,13.0,,,,,US,Montana,Missoula,,"North of Upper Holland Lake, Swan Range, about 80 miles northeast of Missoula.",,,,,,,,,,2287.0,0.0,False,False
,PRESENT,1941-07-01,,182.0,182.0,1941.0,7.0,1.0,,,,NORTH_AMERICA,CA,British Columbia,,,"On Bolean Lake Trail, circa. 4 miles northeast by east of Falkland.",,,,,,,,,,1494.0,0.0,False,False
,PRESENT,1938-07-02,,183.0,183.0,1938.0,7.0,2.0,,,,,US,Idaho,Shoshone,,"Ridge east of Freezeout Mountain, St. Joe National Forest.",,,,,,,,,,1677.0,0.0,False,False
,PRESENT,1945-07-23,,204.0,204.0,1945.0,7.0,23.0,,,,,US,Montana,Beaverhead,,"Above Ajax Lake, Bitter Root Range.",,,,,,,,,,,,False,False
,PRESENT,1963-08-25,,237.0,237.0,1963.0,8.0,25.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Burman Lake, drainage, Burman River. Vancouver Island.",,,,,,,,,,1128.0,0.0,False,False
,PRESENT,1929-07-01,,182.0,182.0,1929.0,7.0,1.0,,,,,US,Montana,,,"Echo Lake, Rocky Mountains, Flathead National Forest.",,,,,,,,,,1128.0,0.0,False,False
,PRESENT,1936-05-14,,135.0,135.0,1936.0,5.0,14.0,,,,,US,Idaho,,,Near south shore of Priest Lake.,,,,,,,,,,915.0,0.0,False,False
,PRESENT,1945-08-05,,217.0,217.0,1945.0,8.0,5.0,,,,,US,Montana,Sweet Grass,,"Below Blue Lake, above Big Timber Creek, Crazy Mountains.",,,,,,,,,,,,False,False
,PRESENT,1945-07-13,,194.0,194.0,1945.0,7.0,13.0,,,,,US,Montana,Meagher,,"Harley Park, circa 6 miles west of Neihart, Little Belt Mountains.",,,,,,,,,,,,False,False
,PRESENT,1970-06-24,,175.0,175.0,1970.0,6.0,24.0,,,,,US,Montana,Ravalli,,"Bitterroot Forest, Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide (west edge of burn), 13 miles east of Darby.",,,,,,,,,,2073.0,0.0,False,False
,PRESENT,1945-07-08,,189.0,189.0,1945.0,7.0,8.0,,,,,US,Montana,Meagher,,On northeast base of Castle Mountains; circa 10 miles southeast of 4-Mile Ranger Station.,,,,,,,,,,,,False,False
,PRESENT,1948-07-11,,193.0,193.0,1948.0,7.0,11.0,,,,,US,Montana,Missoula,,"1/2 miles northeast of Glacier Lake, east side of Mission Range.",,,,,,,,,,,,False,False
,PRESENT,1970-08-18,,230.0,230.0,1970.0,8.0,18.0,,,,,US,Montana,Ravalli,,"Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide; 12.5 miles east of Darby.",,,,,,,,,,2073.0,0.0,False,False
,PRESENT,1947-07-12,,193.0,193.0,1947.0,7.0,12.0,,,,,US,Montana,Park,,"1 mile east of Silver Pass, 9 miles west of Four Mile Ranger Station.",,,,,,,,,,,,False,False
,PRESENT,1970-06-24,,175.0,175.0,1970.0,6.0,24.0,,,,,US,Montana,Ravalli,,"Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide, 12.5 miles east of Darby, Bitterroot Forest.",,,,,,,,,,2073.0,0.0,False,False
,PRESENT,1949-07-14,,195.0,195.0,1949.0,7.0,14.0,,,,NORTH_AMERICA,CA,British Columbia,,,Hope-Princeton Highway.,,,,,,,,,,,,False,False
,PRESENT,1963-07-06,,187.0,187.0,1963.0,7.0,6.0,,,,,US,Idaho,,,"Ant Basin, Idaho, East Lago.",,,,,,,,,,2439.0,0.0,False,False
,PRESENT,1938-05-27,,147.0,147.0,1938.0,5.0,27.0,,,,,US,Idaho,Idaho,,Lolo Pass.,,,,,,,,,,,,False,False
,PRESENT,1899-08-27,,239.0,239.0,1899.0,8.0,27.0,,,,,US,Washington,,,Mount Adams.,,,,,,,,,1944-01-01T00:00:00,,,False,False
,PRESENT,1948-07-15,,197.0,197.0,1948.0,7.0,15.0,,,,,US,Montana,Missoula,,"1/2 mile east of Upper Holland Lake, Flathead Range, Flathead National Forest.",,,,,,,,,,,,False,False
,PRESENT,1929-08,,,,1929.0,8.0,,,,,,US,Washington,,,"Stevens Pass Region, Cascade Mountains.",,,,,,,,,1944-01-01T00:00:00,,,False,False
,PRESENT,1918-09-26,,269.0,269.0,1918.0,9.0,26.0,,,,,US,Oregon,Union,,Near Cove.,,,,,,,,,,,,False,False
,PRESENT,1953-07-23,,204.0,204.0,1953.0,7.0,23.0,,,,,US,Oregon,Marion,,21 miles northeast of Detroit on road to Olallie Lake.,,,,,,,,,,,,False,False
,PRESENT,1936-07-01,,183.0,183.0,1936.0,7.0,1.0,,,,,US,Oregon,Jackson,,"Huckleberry Mountain, Rogue River National Forest.",,,,,,,,,,1372.0,0.0,False,False
,PRESENT,1953-07-23,,204.0,204.0,1953.0,7.0,23.0,,,,,US,Oregon,Marion,,"One mile south of Olallie Lake, on north shore of Horseshoe Lake.",,,,,,,,,,,,False,False
,PRESENT,1941-07-11,,192.0,192.0,1941.0,7.0,11.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Shore of Blackwater Lake, circa 32 miles north of Golden.",,,,,,,,,,655.0,0.0,False,False
,PRESENT,1953-07-28,,209.0,209.0,1953.0,7.0,28.0,,,,,US,Oregon,Grant,,"Along Buck Cabin Creek, 3.5 miles west of Fields Peak.",,,,,,,,,,1433.0,0.0,False,False
,PRESENT,1954-06-04,,155.0,155.0,1954.0,6.0,4.0,,,,,US,Oregon,Wallowa,,"Near south fork of the Lostine River, 18 miles southeast of Lostine.",,,,,,,,,,,,False,False
,PRESENT,1938-07-06,,187.0,187.0,1938.0,7.0,6.0,,,,,US,Oregon,Hood River,,"At Tilly Jane Camp, near Cloud Cap Inn, Mount Hood.",,,,,,,,,,1677.0,0.0,False,False
,PRESENT,1958-06-08,,159.0,159.0,1958.0,6.0,8.0,,,,NORTH_AMERICA,CA,British Columbia,,,Azouzetta Lake on Hart Highway.,,,,,,,,,1958-01-01T00:00:00,915.0,0.0,False,False
,PRESENT,1958-07-03,,184.0,184.0,1958.0,7.0,3.0,,,,,US,Idaho,Shoshone,,"Dismal Lake, about 25 miles south of Avery.",,,,,,,,,,,,False,False
,PRESENT,1957-08-08,,220.0,220.0,1957.0,8.0,8.0,,,,NORTH_AMERICA,CA,British Columbia,,,Emerald Lake.,,,,,,,,,,,,False,False
,PRESENT,1953-05-28,,148.0,148.0,1953.0,5.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,Along Hope-Princeton Highway where road crosses Skaist River.,,,,,,,,,,,,False,False
,PRESENT,1938-08-10,,222.0,222.0,1938.0,8.0,10.0,,,,,US,Idaho,,,Seven Devils Mountains Nez Perce National Forest.,,,,,,,,,1944-01-01T00:00:00,,,False,False
,PRESENT,1946-08-15,,227.0,227.0,1946.0,8.0,15.0,,,,,US,Oregon,Wallowa,,Nine miles east of Imnaha.,,,,,,,,,,,,False,False
,PRESENT,1892-06-20,,172.0,172.0,1892.0,6.0,20.0,,,,,US,Washington,,,[no locality given on the label].,,,,,,,,,1944-01-01T00:00:00,,,False,False
,PRESENT,2002-08-09,,221.0,221.0,2002.0,8.0,9.0,,,,,US,Washington,King,,Cedar River Watershed.  Alice Lakes.  End of Road 127.1a.,,,,,,,,,2002-10-08T00:00:00,1402.0,0.0,False,False
,PRESENT,1980-09-05,,249.0,249.0,1980.0,9.0,5.0,,,,,US,Washington,Lewis,,[no location given],,,,,,,,,,1100.0,0.0,False,False
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False
,PRESENT,1976-08-29,,242.0,242.0,1976.0,8.0,29.0,,"of boulders, in spruce woods of steep slope",,,US,Washington,Pierce,,"by Chinook Pass, below Mt. Ranier",,at el. ca. 6000'.,,,,,,,,1829.0,,False,False
,PRESENT,1922-08-20,,232.0,232.0,1922.0,8.0,20.0,,,,,US,Idaho,Boundary,Copeland,"Rocky Mountains, collect in the Pend Oreille National Forest",,4000',,,,,,,,1219.0,,False,False
flowers,PRESENT,1951-07-15,,196.0,196.0,1951.0,7.0,15.0,,,"U.S.A., Idaho, Idaho County",,US,Idaho,Idaho,,Elk Mt.,,,,,,,,,,,,False,False
flowers,PRESENT,1951-07-15,,196.0,196.0,1951.0,7.0,15.0,,,"U.S.A., Idaho, Idaho County",,US,Idaho,Idaho,,Elk Mt.,,,,,,,,,,,,False,False
flowers,PRESENT,1948-07-12,,194.0,194.0,1948.0,7.0,12.0,,,"U.S.A., Montana, Lake County",,US,Montana,Lake,,Cliffs high above and ca 6 miles S.E. of McDonald Lake; Mission Range.,,,,,,,,,,,,False,False
buds,PRESENT,1923-08-27,,239.0,239.0,1923.0,8.0,27.0,,Gulch.,"U.S.A., Oregon, Josephine County",,US,Oregon,Josephine,,Gulch near entrance to Oregon Cave.,,,,,,,,,,,,False,False
flowers,PRESENT,1952-05-20,,141.0,141.0,1952.0,5.0,20.0,,In woods along creek bottom.,"U.S.A., Montana, Missoula County",,US,Montana,Missoula,,Deer Creek Road.,,1200 m.,,,,,,,,1200.0,,False,False
buds,PRESENT,1977-08-17,,229.0,229.0,1977.0,8.0,17.0,,Shrubfield on former (cut & burned) Douglas-fir w. larch forest.,"U.S.A., Montana, Mineral County",,US,Montana,Mineral,,"Coeur d'Alene Mts., Newman Ridge 1.5 mi. NE of Newman Peak; 7.5 mi. W of St. Regis.",,5100 ft.,,,,,,,1977-01-01T00:00:00,1555.0,,False,True
flowers,PRESENT,1977-06-17,,168.0,168.0,1977.0,6.0,17.0,,With Festuca viridula .,"U.S.A., Idaho, Idaho County",,US,Idaho,Idaho,,"Nezperce NF, along Canteen Creek, in the vicinity of the meadow below the falls, approximately 3/4 mile above trail crossing.",,,,,,,,,,,,False,False
fruits,PRESENT,1988-06-27,,179.0,179.0,1988.0,6.0,27.0,,,"U.S.A., Idaho, Bonner County",,US,Idaho,Bonner,,"Vista Point; west side of Lake Pend Oreille, on Johnson Creek Road.",,4500 ft.,,,,,,,,1372.0,,False,False
fruits,PRESENT,1991-07-28,,209.0,209.0,1991.0,7.0,28.0,,Lodgepole pine forest.,"U.S.A., Idaho, Teton County",,US,Idaho,Teton,,"Targhee National Forest: West Slope Teton Range: slope above South Badger Creek, ca 10.5 air mi NE of Tetonia.",,8000 ft.,,,,,,,,2439.0,,False,True
fruits,PRESENT,1946-08-12,,224.0,224.0,1946.0,8.0,12.0,,"Frequent, loam soil in spruce-fire woodland.","U.S.A., Oregon, Baker County",,US,Oregon,Baker,,"Along Antone Creek, 4 miles below Anthony Lakes, Blue Mountains.",,,,,,,,,1946-08-12T00:00:00,,,False,False
fruits,PRESENT,1937-08-15,,227.0,227.0,1937.0,8.0,15.0,,,"U.S.A., Wyoming",,US,Wyoming,,,"String Lake, Teton Park.",,,,,,,,,1937-01-01T00:00:00,,,False,False
vegetative,PRESENT,1986-08-12,,224.0,224.0,1986.0,8.0,12.0,,Shaded moist stream.,"U.S.A., Wyoming, Fremont County",,US,Wyoming,Fremont,,Sides along the Little Popo Agie River.,,8700 ft.,,,,,,,1986-08-12T00:00:00,2652.0,,False,True
fruits,PRESENT,1940-06-24,,176.0,176.0,1940.0,6.0,24.0,6/24/40,Moist ravine under Douglas fir.,"U.S.A., Idaho, Idaho County",,US,Idaho,Idaho,,Graves Pt. L.O.,,4500 ft.,,,,,,,1940-01-01T00:00:00,1372.0,,False,False
flowers,PRESENT,1936-05-14,,135.0,135.0,1936.0,5.0,14.0,,Roadside in hemlock forest near south shore.,"U.S.A., Idaho, Bonner County",,US,Idaho,Bonner,,Priest Lake.,,3000 ft.,,,,,,,1942-01-01T00:00:00,915.0,,False,False
flowers,PRESENT,1936-05-02,,123.0,123.0,1936.0,5.0,2.0,,"Rocky south slope, open pine woods near crest of ridge. Arid Transition Life Zone.","U.S.A., Idaho, Latah County",,US,Idaho,Latah,,"One mile west of The Twins, Thatuna Hills.",,,,,,,,,1942-01-01T00:00:00,,,False,False
flowers,PRESENT,1972-05-27,,148.0,148.0,1972.0,5.0,27.0,,Shady forest floor.,"U.S.A., Idaho, Boise County",,US,Idaho,Boise,,Near Wapiti Cr.,,,,,,,,,1972-01-01T00:00:00,,,False,False
flowers,PRESENT,1939-07-23,,204.0,204.0,1939.0,7.0,23.0,,,"U.S.A., Idaho, Lemhi County",,US,Idaho,Lemhi,,Long Tom Mt.,,,,,,,,,1939-01-01T00:00:00,,,False,False
flowers,PRESENT,1938-06-05,,156.0,156.0,1938.0,6.0,5.0,,Forest openings.,"U.S.A., Idaho",,US,Idaho,,,Nez Perce Natl. For.,,,,,,,,,1942-01-01T00:00:00,,,False,False
,PRESENT,1969-07-20,,201.0,201.0,1969.0,7.0,20.0,[20/7/1969],,,,US,,,,"Granite Mountain, North Bend (Calif.)",,,,,,,,,,,,False,False
,PRESENT,,,,,,,,S.D.,,,,,,,,S.L.,,,,,,,,,,,,False,False
,PRESENT,1978-08-29,,241.0,241.0,1978.0,8.0,29.0,[29/8/1978],,,NORTH_AMERICA,CA,,,,Mt. Seymour (B.C.),,,,,,,,,,,,False,False
fruits,PRESENT,1965-06-08,,159.0,159.0,1965.0,6.0,8.0,,Sandy soil. Ponderosa pine forest. No slope.,"U.S.A., Idaho, Valley County",,US,Idaho,Valley,,End of peninsula of Payette Lake. North Fork Payette River.,,5080 ft.,,,,,,,,1549.0,,False,False
fertile,PRESENT,1972-07-15,,197.0,197.0,1972.0,7.0,15.0,,Plot 5K - N.F. (DF),"U.S.A., Idaho, Adams County",,US,Idaho,Adams,,"15 miles of New Meadows, Hwy 95",,,,,,,,,1972-01-01T00:00:00,,,False,False
,PRESENT,1979-06-02,,153.0,153.0,1979.0,6.0,2.0,6/2/1979,Aspect: S. Slope: 20.,"U.S.A., Idaho, Kootenai County",,US,Idaho,Kootenai,,Coeur d'Alene N.F.  Huckleberry Mtn.  Veg type:  Abies lasiocarpa/Clintonia uniflora-Xerophyllum tenax.,,4750 ft.,,,,,,,,1448.0,,False,True
flowers and fruits,PRESENT,1955-07-28,,209.0,209.0,1955.0,7.0,28.0,,"Acid soils in ponderosa pine, Douglas-fir and mixed conifers ; sometimes forms pur understory in lodgepole and Engelmann spruce stands.","U.S.A., Idaho",,US,Idaho,,,"Grimes Creek, Boise National Forest.",,,,,,,,,1974-01-01T00:00:00,,,False,False
fertile,PRESENT,1974-07-04,,185.0,185.0,1974.0,7.0,4.0,,Slope: 10%; Exposure: 190 deg.; Vegetation type: Abies lasiocarpa/Xerophyllum tenax,"U.S.A., Idaho, Valley County",,US,Idaho,Valley,,Payette N. F.; Approx 1 mile south of Lick Cr. Summit,,6000 ft.,,,,,,,1974-01-01T00:00:00,1829.0,,False,False
