reproductiveCondition,occurrenceStatus,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,higherGeography,continent,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,georeferencedDate,dateIdentified,elevation,elevationAccuracy,hasCoordinate,hasGeospatialIssues,geocoding_query
,PRESENT,1967-07-26,,207.0,207.0,1967.0,7.0,26.0,,,,NORTH_AMERICA,CA,British Columbia,,,Aeta Lake.,,,,,,,,,,,,False,False,"Aeta Lake., , British Columbia, CA"
,PRESENT,1955-07-15,,196.0,196.0,1955.0,7.0,15.0,,,,,US,Idaho,Shoshone,,"High summit, Bullion Pass, along Idaho State Line.",,,,,,,,,2006-05-08T00:00:00,,,False,False,"High summit, Bullion Pass, along Idaho State Line., Shoshone, Idaho, US"
,PRESENT,1885-06-29,,180.0,180.0,1885.0,6.0,29.0,,,,,US,Washington,,,Mount Adams.,,,,,,,,,,,,False,False,"Mount Adams., , Washington, US"
,PRESENT,1883-06-26,,177.0,177.0,1883.0,6.0,26.0,,,,,US,Washington,,,Mount Adams.,,,,,,,,,,1829.0,305.0,False,False,"Mount Adams., , Washington, US"
,PRESENT,1889-08,,,,1889.0,8.0,,,,,,US,Washington,,,Mount Rainier.,,,,,,,,,1944-01-01T00:00:00,1219.5,304.5,False,False,"Mount Rainier., , Washington, US"
,PRESENT,1925-08,,,,1925.0,8.0,,,,,,US,Washington,,,"Inter Fork of White River, Mount Rainier.",,,,,,,,,1944-01-01T00:00:00,1524.0,0.0,False,False,"Inter Fork of White River, Mount Rainier., , Washington, US"
,PRESENT,1907-08-02,,214.0,214.0,1907.0,8.0,2.0,,,,,US,Washington,,,Olympic Mountains. Elwha Valley.,,,,,,,,,,915.0,305.0,False,False,"Olympic Mountains. Elwha Valley., , Washington, US"
,PRESENT,1918-07-20,,201.0,201.0,1918.0,7.0,20.0,,,,,US,Oregon,,,Crater Lake National Park.,,,,,,,,,,,,False,False,"Crater Lake National Park., , Oregon, US"
,PRESENT,1949-07-21,,202.0,202.0,1949.0,7.0,21.0,,,,,US,Oregon,Klamath,,Crater Lake National Park.  Munson Meadow below the Park Headquarters.,,,,,,,,,,,,False,False,"Crater Lake National Park.  Munson Meadow below the Park Headquarters., Klamath, Oregon, US"
,PRESENT,1933-07-24,,205.0,205.0,1933.0,7.0,24.0,,,,,US,Montana,,,"Glacier National Park, Sun Camp.",,,,,,,,,,,,False,False,"Glacier National Park, Sun Camp., , Montana, US"
,PRESENT,1942-06-10,,161.0,161.0,1942.0,6.0,10.0,,,,,US,Montana,,,"Glacier National Park, south slope of Quartz Ridge, north of Quartz Lake.",,,,,,,,,,,,False,False,"Glacier National Park, south slope of Quartz Ridge, north of Quartz Lake., , Montana, US"
,PRESENT,1896-06-19,,171.0,171.0,1896.0,6.0,19.0,,,,,US,Washington,,,"Cascade Mountains, Mount Rainier and adjacent mountains.",,,,,,,,,1944-01-01T00:00:00,1067.5,152.5,False,False,"Cascade Mountains, Mount Rainier and adjacent mountains., , Washington, US"
,PRESENT,1933-08-13,,225.0,225.0,1933.0,8.0,13.0,,,,,US,Oregon,Hood River,,"Along the East Fork Hood River, near Sherwood Forest Camp, Mount Hood National Forest.",,,,,,,,,1944-01-01T00:00:00,,,False,False,"Along the East Fork Hood River, near Sherwood Forest Camp, Mount Hood National Forest., Hood River, Oregon, US"
,PRESENT,1938-07-28,,209.0,209.0,1938.0,7.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Green Mountain, near Haylmore.",,,,,,,,,1944-01-01T00:00:00,2134.0,0.0,False,False,"Green Mountain, near Haylmore., , British Columbia, CA"
,PRESENT,1939-06-22,,173.0,173.0,1939.0,6.0,22.0,,,,,US,Oregon,Deschutes,,MacKenzie Pass.,,,,,,,,,1944-01-01T00:00:00,1616.0,0.0,False,False,"MacKenzie Pass., Deschutes, Oregon, US"
,PRESENT,1936-05-02,,123.0,123.0,1936.0,5.0,2.0,,,,,US,Idaho,Latah,,"The Thatuna Hills, one mile west of the Twins.",,,,,,,,,1944-01-01T00:00:00,,,False,False,"The Thatuna Hills, one mile west of the Twins., Latah, Idaho, US"
,PRESENT,1938-07-28,,209.0,209.0,1938.0,7.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Green Mountain, near Haylmore.",,,,,,,,,,2134.0,0.0,False,False,"Green Mountain, near Haylmore., , British Columbia, CA"
,PRESENT,1938-06-20,,171.0,171.0,1938.0,6.0,20.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Near Lake Bootahnie, Marble Mountains.",,,,,,,,,,1524.0,0.0,False,False,"Near Lake Bootahnie, Marble Mountains., , British Columbia, CA"
,PRESENT,,,,,,,,,,,,,,,,Vicinity of Helena.,,,,,,,,,,,,False,False,Vicinity of Helena.
,PRESENT,1950-07-21,,202.0,202.0,1950.0,7.0,21.0,,,,,US,Oregon,Wallowa,,"At Horseshoe Lake, Lake Basin, Wallowa Mountains.",,,,,,,,,,,,False,False,"At Horseshoe Lake, Lake Basin, Wallowa Mountains., Wallowa, Oregon, US"
,PRESENT,1938-05-14,,134.0,134.0,1938.0,5.0,14.0,,,,,US,Idaho,,,Near South shore of Priest Lake.,,,,,,,,,1944-01-01T00:00:00,915.0,0.0,False,False,"Near South shore of Priest Lake., , Idaho, US"
,PRESENT,1946-07-09,,190.0,190.0,1946.0,7.0,9.0,,,,,US,Montana,Missoula,,"Foot of Spring Creek Trail, Rattlesnake Drainage.",,,,,,,,,,,,False,False,"Foot of Spring Creek Trail, Rattlesnake Drainage., Missoula, Montana, US"
,PRESENT,1947-07-12,,193.0,193.0,1947.0,7.0,12.0,,,,,US,Montana,Park,,Six miles west of Four Mile Ranger Station.,,,,,,,,,,,,False,False,"Six miles west of Four Mile Ranger Station., Park, Montana, US"
,PRESENT,1938-07-02,,183.0,183.0,1938.0,7.0,2.0,,,,,US,Idaho,Shoshone,,"Ridge east of Freezeout Mountain, St. Joe National Forest.",,,,,,,,,1944-01-01T00:00:00,1677.0,0.0,False,False,"Ridge east of Freezeout Mountain, St. Joe National Forest., Shoshone, Idaho, US"
,PRESENT,1949-06-27,,178.0,178.0,1949.0,6.0,27.0,,,,,US,Montana,Park,,"Vicinity Cooke Guard Station, about 2 miles east of Cooke City.",,,,,,,,,,2439.0,0.0,False,False,"Vicinity Cooke Guard Station, about 2 miles east of Cooke City., Park, Montana, US"
,PRESENT,1949-06-29,,180.0,180.0,1949.0,6.0,29.0,,,,,US,Oregon,Josephine,,"Along the Grayback Trail, Oregon Caves National Monument and vicinity.",,,,,,,,,,,,False,False,"Along the Grayback Trail, Oregon Caves National Monument and vicinity., Josephine, Oregon, US"
,PRESENT,1949-07-10,,191.0,191.0,1949.0,7.0,10.0,,,,,US,Oregon,Josephine,,At Upper Biglow Lake.,,,,,,,,,,,,False,False,"At Upper Biglow Lake., Josephine, Oregon, US"
,PRESENT,1948-07-12,,194.0,194.0,1948.0,7.0,12.0,,,,,US,Montana,Lake,,Cliffs high above and circa 6 miles southeast of McDonald Lake; Mission Range.,,,,,,,,,,,,False,False,"Cliffs high above and circa 6 miles southeast of McDonald Lake; Mission Range., Lake, Montana, US"
,PRESENT,1948-07-10,,192.0,192.0,1948.0,7.0,10.0,,,,,US,Montana,Missoula,,Circa 10 miles west of Placid Lake; Missoula National Forest.,,,,,,,,,,,,False,False,"Circa 10 miles west of Placid Lake; Missoula National Forest., Missoula, Montana, US"
,PRESENT,1939-06-17,,168.0,168.0,1939.0,6.0,17.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Sumup Cabin, southwest of Mount Baldy, 9 miles northwest of Ross Spur.",,,,,,,,,,1326.0,46.0,False,False,"Sumup Cabin, southwest of Mount Baldy, 9 miles northwest of Ross Spur., , British Columbia, CA"
,PRESENT,1941-07-01,,182.0,182.0,1941.0,7.0,1.0,,,,NORTH_AMERICA,CA,British Columbia,,,Circa. 4.25 miles northeast by east of Falkland.,,,,,,,,,,1463.0,0.0,False,False,"Circa. 4.25 miles northeast by east of Falkland., , British Columbia, CA"
,PRESENT,1940-07-28,,210.0,210.0,1940.0,7.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,Bear Lake.,,,,,,,,,,,,False,False,"Bear Lake., , British Columbia, CA"
,PRESENT,1940-07-22,,204.0,204.0,1940.0,7.0,22.0,,,,NORTH_AMERICA,CA,British Columbia,,,Takla Lake about 9 miles northwest of Takla Landing.,,,,,,,,,,,,False,False,"Takla Lake about 9 miles northwest of Takla Landing., , British Columbia, CA"
,PRESENT,1955-07-13,,194.0,194.0,1955.0,7.0,13.0,,,,,US,Montana,Missoula,,"North of Upper Holland Lake, Swan Range, about 80 miles northeast of Missoula.",,,,,,,,,,2287.0,0.0,False,False,"North of Upper Holland Lake, Swan Range, about 80 miles northeast of Missoula., Missoula, Montana, US"
,PRESENT,1941-07-01,,182.0,182.0,1941.0,7.0,1.0,,,,NORTH_AMERICA,CA,British Columbia,,,"On Bolean Lake Trail, circa. 4 miles northeast by east of Falkland.",,,,,,,,,,1494.0,0.0,False,False,"On Bolean Lake Trail, circa. 4 miles northeast by east of Falkland., , British Columbia, CA"
,PRESENT,1938-07-02,,183.0,183.0,1938.0,7.0,2.0,,,,,US,Idaho,Shoshone,,"Ridge east of Freezeout Mountain, St. Joe National Forest.",,,,,,,,,,1677.0,0.0,False,False,"Ridge east of Freezeout Mountain, St. Joe National Forest., Shoshone, Idaho, US"
,PRESENT,1945-07-23,,204.0,204.0,1945.0,7.0,23.0,,,,,US,Montana,Beaverhead,,"Above Ajax Lake, Bitter Root Range.",,,,,,,,,,,,False,False,"Above Ajax Lake, Bitter Root Range., Beaverhead, Montana, US"
,PRESENT,1963-08-25,,237.0,237.0,1963.0,8.0,25.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Burman Lake, drainage, Burman River. Vancouver Island.",,,,,,,,,,1128.0,0.0,False,False,"Burman Lake, drainage, Burman River. Vancouver Island., , British Columbia, CA"
,PRESENT,1929-07-01,,182.0,182.0,1929.0,7.0,1.0,,,,,US,Montana,,,"Echo Lake, Rocky Mountains, Flathead National Forest.",,,,,,,,,,1128.0,0.0,False,False,"Echo Lake, Rocky Mountains, Flathead National Forest., , Montana, US"
,PRESENT,1936-05-14,,135.0,135.0,1936.0,5.0,14.0,,,,,US,Idaho,,,Near south shore of Priest Lake.,,,,,,,,,,915.0,0.0,False,False,"Near south shore of Priest Lake., , Idaho, US"
,PRESENT,1945-08-05,,217.0,217.0,1945.0,8.0,5.0,,,,,US,Montana,Sweet Grass,,"Below Blue Lake, above Big Timber Creek, Crazy Mountains.",,,,,,,,,,,,False,False,"Below Blue Lake, above Big Timber Creek, Crazy Mountains., Sweet Grass, Montana, US"
,PRESENT,1945-07-13,,194.0,194.0,1945.0,7.0,13.0,,,,,US,Montana,Meagher,,"Harley Park, circa 6 miles west of Neihart, Little Belt Mountains.",,,,,,,,,,,,False,False,"Harley Park, circa 6 miles west of Neihart, Little Belt Mountains., Meagher, Montana, US"
,PRESENT,1970-06-24,,175.0,175.0,1970.0,6.0,24.0,,,,,US,Montana,Ravalli,,"Bitterroot Forest, Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide (west edge of burn), 13 miles east of Darby.",,,,,,,,,,2073.0,0.0,False,False,"Bitterroot Forest, Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide (west edge of burn), 13 miles east of Darby., Ravalli, Montana, US"
,PRESENT,1945-07-08,,189.0,189.0,1945.0,7.0,8.0,,,,,US,Montana,Meagher,,On northeast base of Castle Mountains; circa 10 miles southeast of 4-Mile Ranger Station.,,,,,,,,,,,,False,False,"On northeast base of Castle Mountains; circa 10 miles southeast of 4-Mile Ranger Station., Meagher, Montana, US"
,PRESENT,1948-07-11,,193.0,193.0,1948.0,7.0,11.0,,,,,US,Montana,Missoula,,"1/2 miles northeast of Glacier Lake, east side of Mission Range.",,,,,,,,,,,,False,False,"1/2 miles northeast of Glacier Lake, east side of Mission Range., Missoula, Montana, US"
,PRESENT,1970-08-18,,230.0,230.0,1970.0,8.0,18.0,,,,,US,Montana,Ravalli,,"Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide; 12.5 miles east of Darby.",,,,,,,,,,2073.0,0.0,False,False,"Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide; 12.5 miles east of Darby., Ravalli, Montana, US"
,PRESENT,1947-07-12,,193.0,193.0,1947.0,7.0,12.0,,,,,US,Montana,Park,,"1 mile east of Silver Pass, 9 miles west of Four Mile Ranger Station.",,,,,,,,,,,,False,False,"1 mile east of Silver Pass, 9 miles west of Four Mile Ranger Station., Park, Montana, US"
,PRESENT,1970-06-24,,175.0,175.0,1970.0,6.0,24.0,,,,,US,Montana,Ravalli,,"Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide, 12.5 miles east of Darby, Bitterroot Forest.",,,,,,,,,,2073.0,0.0,False,False,"Sapphire Mountains, Rye Creek, Sleeping Child Creek Divide, 12.5 miles east of Darby, Bitterroot Forest., Ravalli, Montana, US"
,PRESENT,1949-07-14,,195.0,195.0,1949.0,7.0,14.0,,,,NORTH_AMERICA,CA,British Columbia,,,Hope-Princeton Highway.,,,,,,,,,,,,False,False,"Hope-Princeton Highway., , British Columbia, CA"
,PRESENT,1963-07-06,,187.0,187.0,1963.0,7.0,6.0,,,,,US,Idaho,,,"Ant Basin, Idaho, East Lago.",,,,,,,,,,2439.0,0.0,False,False,"Ant Basin, Idaho, East Lago., , Idaho, US"
,PRESENT,1938-05-27,,147.0,147.0,1938.0,5.0,27.0,,,,,US,Idaho,Idaho,,Lolo Pass.,,,,,,,,,,,,False,False,"Lolo Pass., Idaho, Idaho, US"
,PRESENT,1899-08-27,,239.0,239.0,1899.0,8.0,27.0,,,,,US,Washington,,,Mount Adams.,,,,,,,,,1944-01-01T00:00:00,,,False,False,"Mount Adams., , Washington, US"
,PRESENT,1948-07-15,,197.0,197.0,1948.0,7.0,15.0,,,,,US,Montana,Missoula,,"1/2 mile east of Upper Holland Lake, Flathead Range, Flathead National Forest.",,,,,,,,,,,,False,False,"1/2 mile east of Upper Holland Lake, Flathead Range, Flathead National Forest., Missoula, Montana, US"
,PRESENT,1929-08,,,,1929.0,8.0,,,,,,US,Washington,,,"Stevens Pass Region, Cascade Mountains.",,,,,,,,,1944-01-01T00:00:00,,,False,False,"Stevens Pass Region, Cascade Mountains., , Washington, US"
,PRESENT,1918-09-26,,269.0,269.0,1918.0,9.0,26.0,,,,,US,Oregon,Union,,Near Cove.,,,,,,,,,,,,False,False,"Near Cove., Union, Oregon, US"
,PRESENT,1953-07-23,,204.0,204.0,1953.0,7.0,23.0,,,,,US,Oregon,Marion,,21 miles northeast of Detroit on road to Olallie Lake.,,,,,,,,,,,,False,False,"21 miles northeast of Detroit on road to Olallie Lake., Marion, Oregon, US"
,PRESENT,1936-07-01,,183.0,183.0,1936.0,7.0,1.0,,,,,US,Oregon,Jackson,,"Huckleberry Mountain, Rogue River National Forest.",,,,,,,,,,1372.0,0.0,False,False,"Huckleberry Mountain, Rogue River National Forest., Jackson, Oregon, US"
,PRESENT,1953-07-23,,204.0,204.0,1953.0,7.0,23.0,,,,,US,Oregon,Marion,,"One mile south of Olallie Lake, on north shore of Horseshoe Lake.",,,,,,,,,,,,False,False,"One mile south of Olallie Lake, on north shore of Horseshoe Lake., Marion, Oregon, US"
,PRESENT,1941-07-11,,192.0,192.0,1941.0,7.0,11.0,,,,NORTH_AMERICA,CA,British Columbia,,,"Shore of Blackwater Lake, circa 32 miles north of Golden.",,,,,,,,,,655.0,0.0,False,False,"Shore of Blackwater Lake, circa 32 miles north of Golden., , British Columbia, CA"
,PRESENT,1953-07-28,,209.0,209.0,1953.0,7.0,28.0,,,,,US,Oregon,Grant,,"Along Buck Cabin Creek, 3.5 miles west of Fields Peak.",,,,,,,,,,1433.0,0.0,False,False,"Along Buck Cabin Creek, 3.5 miles west of Fields Peak., Grant, Oregon, US"
,PRESENT,1954-06-04,,155.0,155.0,1954.0,6.0,4.0,,,,,US,Oregon,Wallowa,,"Near south fork of the Lostine River, 18 miles southeast of Lostine.",,,,,,,,,,,,False,False,"Near south fork of the Lostine River, 18 miles southeast of Lostine., Wallowa, Oregon, US"
,PRESENT,1938-07-06,,187.0,187.0,1938.0,7.0,6.0,,,,,US,Oregon,Hood River,,"At Tilly Jane Camp, near Cloud Cap Inn, Mount Hood.",,,,,,,,,,1677.0,0.0,False,False,"At Tilly Jane Camp, near Cloud Cap Inn, Mount Hood., Hood River, Oregon, US"
,PRESENT,1958-06-08,,159.0,159.0,1958.0,6.0,8.0,,,,NORTH_AMERICA,CA,British Columbia,,,Azouzetta Lake on Hart Highway.,,,,,,,,,1958-01-01T00:00:00,915.0,0.0,False,False,"Azouzetta Lake on Hart Highway., , British Columbia, CA"
,PRESENT,1958-07-03,,184.0,184.0,1958.0,7.0,3.0,,,,,US,Idaho,Shoshone,,"Dismal Lake, about 25 miles south of Avery.",,,,,,,,,,,,False,False,"Dismal Lake, about 25 miles south of Avery., Shoshone, Idaho, US"
,PRESENT,1957-08-08,,220.0,220.0,1957.0,8.0,8.0,,,,NORTH_AMERICA,CA,British Columbia,,,Emerald Lake.,,,,,,,,,,,,False,False,"Emerald Lake., , British Columbia, CA"
,PRESENT,1953-05-28,,148.0,148.0,1953.0,5.0,28.0,,,,NORTH_AMERICA,CA,British Columbia,,,Along Hope-Princeton Highway where road crosses Skaist River.,,,,,,,,,,,,False,False,"Along Hope-Princeton Highway where road crosses Skaist River., , British Columbia, CA"
,PRESENT,1938-08-10,,222.0,222.0,1938.0,8.0,10.0,,,,,US,Idaho,,,Seven Devils Mountains Nez Perce National Forest.,,,,,,,,,1944-01-01T00:00:00,,,False,False,"Seven Devils Mountains Nez Perce National Forest., , Idaho, US"
,PRESENT,1946-08-15,,227.0,227.0,1946.0,8.0,15.0,,,,,US,Oregon,Wallowa,,Nine miles east of Imnaha.,,,,,,,,,,,,False,False,"Nine miles east of Imnaha., Wallowa, Oregon, US"
,PRESENT,1892-06-20,,172.0,172.0,1892.0,6.0,20.0,,,,,US,Washington,,,[no locality given on the label].,,,,,,,,,1944-01-01T00:00:00,,,False,False,"[no locality given on the label]., , Washington, US"
,PRESENT,2002-08-09,,221.0,221.0,2002.0,8.0,9.0,,,,,US,Washington,King,,Cedar River Watershed.  Alice Lakes.  End of Road 127.1a.,,,,,,,,,2002-10-08T00:00:00,1402.0,0.0,False,False,"Cedar River Watershed.  Alice Lakes.  End of Road 127.1a., King, Washington, US"
,PRESENT,1980-09-05,,249.0,249.0,1980.0,9.0,5.0,,,,,US,Washington,Lewis,,[no location given],,,,,,,,,,1100.0,0.0,False,False,"[no location given], Lewis, Washington, US"
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False,Copenhagen University's Arboretum
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False,Copenhagen University's Arboretum
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False,Copenhagen University's Arboretum
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False,Copenhagen University's Arboretum
,PRESENT,,,,,,,,,,,,,,,,Copenhagen University's Arboretum,,,,,,,,,,,,False,False,Copenhagen University's Arboretum
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,,,,,,,,,,,,US,,,,,,,,,,,,,,,,False,False,US
,PRESENT,1976-08-29,,242.0,242.0,1976.0,8.0,29.0,,"of boulders, in spruce woods of steep slope",,,US,Washington,Pierce,,"by Chinook Pass, below Mt. Ranier",,at el. ca. 6000'.,,,,,,,,1829.0,,False,False,"by Chinook Pass, below Mt. Ranier, Pierce, Washington, US"
,PRESENT,1922-08-20,,232.0,232.0,1922.0,8.0,20.0,,,,,US,Idaho,Boundary,Copeland,"Rocky Mountains, collect in the Pend Oreille National Forest",,4000',,,,,,,,1219.0,,False,False,"Rocky Mountains, collect in the Pend Oreille National Forest, Copeland, Boundary, Idaho, US"
